Timestamp,Open,High,Low,Close,Volume
1734472440000,3934.55000000,3937.00000000,3934.54000000,3934.95000000,97.98080000,1734472499999,385648.44897800,3259,45.98220000,180954.50155800,0
1734472500000,3934.95000000,3935.65000000,3933.19000000,3933.39000000,71.07110000,1734472559999,279631.60719200,2031,29.81570000,117318.60559300,0
1734472560000,3933.39000000,3933.60000000,3930.51000000,3932.93000000,274.76070000,1734472619999,1080374.49652100,3301,67.80240000,266576.68734800,0
1734472620000,3932.93000000,3933.99000000,3931.80000000,3933.98000000,119.93430000,1734472679999,471666.72528300,1299,25.86470000,101727.99534400,0
1734472680000,3933.99000000,3934.89000000,3933.98000000,3934.20000000,224.28840000,1734472739999,882448.24163600,775,89.49810000,352113.85876300,0
1734472740000,3934.21000000,3935.79000000,3932.00000000,3932.01000000,158.80880000,1734472799999,624856.03062300,2553,99.31150000,390768.99457200,0
1734472800000,3932.01000000,3932.01000000,3927.53000000,3930.79000000,256.65970000,1734472859999,1008515.39503400,3976,100.35520000,394287.44675900,0
1734472860000,3930.78000000,3935.38000000,3930.78000000,3935.38000000,187.93030000,1734472919999,739165.09180200,2468,63.99330000,251716.12361700,0
1734472920000,3935.38000000,3935.38000000,3930.41000000,3930.41000000,54.18680000,1734472979999,213133.85189400,2854,12.66850000,49822.34094100,0
1734472980000,3930.41000000,3934.00000000,3930.30000000,3933.06000000,107.04200000,1734473039999,420969.63985600,3184,34.01610000,133764.65892900,0
1734473040000,3933.07000000,3936.03000000,3932.37000000,3936.03000000,332.87490000,1734473099999,1309757.58061600,4813,71.10340000,279734.14714200,0
1734473100000,3936.03000000,3936.03000000,3932.47000000,3934.99000000,187.86890000,1734473159999,738989.46742900,3003,67.33200000,264815.35812000,0
1734473160000,3935.00000000,3937.00000000,3934.00000000,3934.01000000,92.82920000,1734473219999,365311.58150500,2743,70.37760000,276956.86986300,0
1734473220000,3934.01000000,3934.98000000,3933.20000000,3934.65000000,75.83540000,1734473279999,298335.60290900,1910,59.08290000,232427.59356600,0
1734473280000,3934.65000000,3934.65000000,3932.67000000,3933.80000000,81.73950000,1734473339999,321500.16541300,1463,58.59810000,230475.78374500,0
1734473340000,3933.79000000,3937.20000000,3933.79000000,3937.19000000,35.00210000,1734473399999,137761.52427200,2474,29.23510000,115064.36260700,0
1734473400000,3937.19000000,3937.40000000,3930.81000000,3930.82000000,294.39100000,1734473459999,1158391.44826200,2329,71.28070000,280345.35510500,0
1734473460000,3930.81000000,3931.35000000,3927.38000000,3928.39000000,318.16030000,1734473519999,1249901.18336700,2023,187.39170000,736069.18429500,0
1734473520000,3928.38000000,3928.38000000,3924.03000000,3924.03000000,262.74070000,1734473579999,1031584.31327500,2078,41.14550000,161541.15410200,0
1734473580000,3924.04000000,3926.94000000,3924.03000000,3926.12000000,179.13260000,1734473639999,703166.03258900,2221,45.68410000,179309.40180600,0
